mac,x,y,z
14-15-92-00-12-91-b9-a0,5.93,1.98,0.5
14-15-92-00-12-91-c9-fa,5.93,1.98,1.5
14-15-92-00-12-91-b4-2e,5.93,1.98,2.5
14-15-92-00-12-91-c9-35,6.93,1.98,0.5
14-15-92-00-12-91-bd-d3,6.93,1.98,1.5
14-15-92-00-12-91-b9-57,6.93,1.98,2.5
14-15-92-00-12-91-c8-7f,7.93,1.98,0.5
14-15-92-00-12-91-cd-ac,7.93,1.98,1.5
14-15-92-00-12-91-bf-84,7.93,1.98,2.5
14-15-92-00-12-91-cf-14,0.93,2.98,0.5
14-15-92-00-12-91-c6-05,0.93,2.98,1.5
14-15-92-00-12-91-af-8a,0.93,2.98,2.5
14-15-92-00-12-91-c3-5d,1.93,2.98,0.5
14-15-92-00-12-91-ca-60,1.93,2.98,1.5
14-15-92-00-12-91-c0-9b,1.93,2.98,2.5
14-15-92-00-12-91-c4-aa,2.93,2.98,0.5
14-15-92-00-12-91-ca-01,2.93,2.98,1.5
14-15-92-00-12-91-bb-25,2.93,2.98,2.5
14-15-92-00-12-91-b7-af,3.93,2.98,0.5
14-15-92-00-12-91-b0-57,3.93,2.98,1.5
14-15-92-00-12-91-cf-0a,3.93,2.98,2.5
14-15-92-00-12-91-ca-27,4.93,2.98,0.5
14-15-92-00-12-91-cb-57,4.93,2.98,1.5
14-15-92-00-12-91-cb-af,4.93,2.98,2.5
14-15-92-00-12-91-c7-de,5.93,2.98,0.5
14-15-92-00-12-91-bc-f4,5.93,2.98,1.5
14-15-92-00-12-91-bf-80,5.93,2.98,2.5
14-15-92-00-12-91-bd-b0,6.93,2.98,0.5
14-15-92-00-12-91-be-6b,6.93,2.98,1.5
14-15-92-00-12-91-cd-74,6.93,2.98,2.5
14-15-92-00-12-91-b7-e2,7.93,2.98,0.5
14-15-92-00-12-91-cc-5e,7.93,2.98,1.5
14-15-92-00-12-91-b4-67,7.93,2.98,2.5
14-15-92-00-12-91-ce-cf,0.93,3.98,0.5
14-15-92-00-12-91-cd-64,0.93,3.98,1.5
14-15-92-00-12-91-c9-cf,0.93,3.98,2.5
14-15-92-00-12-91-b2-3c,1.93,3.98,0.5
14-15-92-00-12-91-cd-18,1.93,3.98,1.5
14-15-92-00-12-91-bb-3a,1.93,3.98,2.5
14-15-92-00-12-91-c9-87,2.93,3.98,0.5
14-15-92-00-12-91-c8-ea,2.93,3.98,1.5
14-15-92-00-12-91-b5-c5,2.93,3.98,2.5
14-15-92-00-12-91-1f-3c,3.93,3.98,0.5
14-15-92-00-12-91-bb-11,3.93,3.98,1.5
14-15-92-00-12-91-c7-df,3.93,3.98,2.5
14-15-92-00-12-91-c9-86,4.93,3.98,0.5
14-15-92-00-12-91-c5-e2,4.93,3.98,1.5
14-15-92-00-12-91-c7-55,4.93,3.98,2.5
14-15-92-00-12-91-ca-2f,5.93,3.98,0.5
14-15-92-00-12-91-b1-38,5.93,3.98,1.5
14-15-92-00-12-91-c9-2f,5.93,3.98,2.5
14-15-92-00-12-91-c6-81,6.93,3.98,0.5
14-15-92-00-12-91-cd-2e,6.93,3.98,1.5
14-15-92-00-12-91-c1-d5,6.93,3.98,2.5
14-15-92-00-12-91-cc-22,7.93,3.98,0.5
14-15-92-00-12-91-c4-e5,7.93,3.98,1.5
14-15-92-00-12-91-c5-b3,7.93,3.98,2.5
14-15-92-00-12-91-bf-b9,0.93,4.98,0.5
14-15-92-00-12-91-b8-fb,0.93,4.98,1.5
14-15-92-00-12-91-bc-1c,0.93,4.98,2.5
14-15-92-00-12-91-ba-e2,1.93,4.98,0.5
14-15-92-00-12-91-bb-ff,1.93,4.98,1.5
14-15-92-00-12-91-c8-81,1.93,4.98,2.5
14-15-92-00-12-91-ca-54,2.93,4.98,0.5
14-15-92-00-12-91-c7-1e,2.93,4.98,1.5
14-15-92-00-12-91-bb-7d,2.93,4.98,2.5
14-15-92-00-12-91-1f-94,3.93,4.98,0.5
14-15-92-00-12-91-b4-d8,3.93,4.98,1.5
14-15-92-00-12-91-cc-cb,3.93,4.98,2.5
14-15-92-00-12-91-be-59,4.93,4.98,0.5
14-15-92-00-12-91-ce-b0,4.93,4.98,1.5
14-15-92-00-12-91-b5-e2,4.93,4.98,2.5
14-15-92-00-12-91-c3-02,5.93,4.98,0.5
14-15-92-00-12-91-af-64,5.93,4.98,1.5
14-15-92-00-12-91-ce-d2,5.93,4.98,2.5
14-15-92-00-12-91-ce-d4,6.93,4.98,0.5
14-15-92-00-12-91-20-3f,6.93,4.98,1.5
14-15-92-00-12-91-c1-4d,6.93,4.98,2.5
14-15-92-00-12-91-b0-d7,7.93,4.98,0.5
14-15-92-00-12-91-1c-c4,7.93,4.98,1.5
14-15-92-00-12-91-bc-76,7.93,4.98,2.5
14-15-92-00-12-91-b6-34,0.93,5.98,0.5
14-15-92-00-12-91-af-9d,0.93,5.98,1.5
14-15-92-00-12-91-bc-2c,0.93,5.98,2.5
14-15-92-00-12-91-cb-20,1.93,5.98,0.5
14-15-92-00-12-91-bb-fc,1.93,5.98,1.5
14-15-92-00-12-91-c2-e8,1.93,5.98,2.5
14-15-92-00-12-91-cd-45,2.93,5.98,0.5
14-15-92-00-12-91-b2-68,2.93,5.98,1.5
14-15-92-00-12-91-c3-96,2.93,5.98,2.5
14-15-92-00-12-91-c1-d4,3.93,5.98,0.5
14-15-92-00-12-91-ca-19,3.93,5.98,1.5
14-15-92-00-12-91-b5-4e,3.93,5.98,2.5
14-15-92-00-12-91-b6-be,4.93,5.98,0.5
14-15-92-00-12-91-b0-db,4.93,5.98,1.5
14-15-92-00-12-91-bb-e8,4.93,5.98,2.5
14-15-92-00-12-91-ce-dc,5.93,5.98,0.5
14-15-92-00-12-91-c6-77,5.93,5.98,1.5
14-15-92-00-12-91-c2-11,5.93,5.98,2.5
14-15-92-00-12-91-c4-7f,6.93,5.98,0.5
14-15-92-00-12-91-c3-81,6.93,5.98,1.5
14-15-92-00-12-91-b2-fa,6.93,5.98,2.5
14-15-92-00-12-91-ca-a0,7.93,5.98,0.5
14-15-92-00-12-91-af-d3,7.93,5.98,1.5
14-15-92-00-12-91-b2-56,7.93,5.98,2.5
14-15-92-00-12-91-c9-d8,0.93,6.98,0.5
14-15-92-00-12-91-ce-fd,0.93,6.98,1.5
14-15-92-00-12-91-ba-79,0.93,6.98,2.5
14-15-92-00-12-91-b7-1d,1.93,6.98,0.5
14-15-92-00-12-91-c7-e8,1.93,6.98,1.5
14-15-92-00-12-91-c9-41,1.93,6.98,2.5
14-15-92-00-12-91-ba-7d,2.93,6.98,0.5
14-15-92-00-12-91-ba-0b,2.93,6.98,1.5
14-15-92-00-12-91-b7-fe,2.93,6.98,2.5
14-15-92-00-12-91-b9-0e,3.93,6.98,0.5
14-15-92-00-12-91-c8-4e,3.93,6.98,1.5
14-15-92-00-12-91-c7-ad,3.93,6.98,2.5
14-15-92-00-12-91-bd-0f,4.93,6.98,0.5
14-15-92-00-12-91-ce-62,4.93,6.98,1.5
14-15-92-00-12-91-b4-f8,4.93,6.98,2.5
14-15-92-00-12-91-b7-8d,5.93,6.98,0.5
14-15-92-00-12-91-bf-13,5.93,6.98,1.5
14-15-92-00-12-91-ba-bf,5.93,6.98,2.5
14-15-92-00-12-91-bc-2e,6.93,6.98,0.5
14-15-92-00-12-91-be-2b,6.93,6.98,1.5
14-15-92-00-12-91-b4-4f,6.93,6.98,2.5
14-15-92-00-12-91-c1-28,7.93,6.98,0.5
14-15-92-00-12-91-c8-6d,7.93,6.98,1.5
14-15-92-00-12-91-b1-a2,7.93,6.98,2.5
14-15-92-00-12-91-bd-cc,0.93,7.98,0.5
14-15-92-00-12-91-b8-fa,0.93,7.98,1.5
14-15-92-00-12-91-1c-26,0.93,7.98,2.5
14-15-92-00-12-91-bf-f3,1.93,7.98,0.5
14-15-92-00-12-91-b7-e7,1.93,7.98,1.5
14-15-92-00-12-91-ca-bc,1.93,7.98,2.5
14-15-92-00-12-91-c5-d6,2.93,7.98,0.5
14-15-92-00-12-91-cb-6c,2.93,7.98,1.5
14-15-92-00-12-91-cc-0a,2.93,7.98,2.5
14-15-92-00-12-91-b8-47,3.93,7.98,0.5
14-15-92-00-12-91-c0-2a,3.93,7.98,1.5
14-15-92-00-12-91-ba-20,3.93,7.98,2.5
14-15-92-00-12-91-c9-d5,4.93,7.98,0.5
14-15-92-00-12-91-b6-61,4.93,7.98,1.5
14-15-92-00-12-91-be-23,4.93,7.98,2.5
14-15-92-00-12-91-b7-b0,5.93,7.98,0.5
14-15-92-00-12-91-b4-b9,5.93,7.98,1.5
14-15-92-00-12-91-bc-68,5.93,7.98,2.5
14-15-92-00-12-91-b7-c1,6.93,7.98,0.5
14-15-92-00-12-91-b7-f7,6.93,7.98,1.5
14-15-92-00-12-91-1c-ad,6.93,7.98,2.5
14-15-92-00-12-91-1f-7b,7.93,7.98,0.5
14-15-92-00-12-91-b5-c4,7.93,7.98,1.5
14-15-92-00-12-91-bf-b7,7.93,7.98,2.5
14-15-92-00-12-91-b9-dd,0.93,8.98,0.5
14-15-92-00-12-91-cd-65,0.93,8.98,1.5
14-15-92-00-12-91-c7-90,0.93,8.98,2.5
14-15-92-00-12-91-b9-cf,1.93,8.98,0.5
14-15-92-00-12-91-b3-7d,1.93,8.98,1.5
14-15-92-00-12-91-c0-c2,1.93,8.98,2.5
14-15-92-00-12-91-bc-ff,2.93,8.98,0.5
14-15-92-00-12-91-b1-62,2.93,8.98,1.5
14-15-92-00-12-91-b3-6d,2.93,8.98,2.5
14-15-92-00-12-91-af-a5,3.93,8.98,0.5
14-15-92-00-12-91-bc-e0,3.93,8.98,1.5
14-15-92-00-12-91-c6-10,3.93,8.98,2.5
14-15-92-00-12-91-b4-f2,4.93,8.98,0.5
14-15-92-00-12-91-bc-93,4.93,8.98,1.5
14-15-92-00-12-91-ca-df,4.93,8.98,2.5
14-15-92-00-12-91-c3-24,5.93,8.98,0.5
14-15-92-00-12-91-bf-07,5.93,8.98,1.5
14-15-92-00-12-91-cd-83,5.93,8.98,2.5
14-15-92-00-12-91-ce-46,6.93,8.98,0.5
14-15-92-00-12-91-ba-40,6.93,8.98,1.5
14-15-92-00-12-91-b3-7a,6.93,8.98,2.5
14-15-92-00-12-91-c8-bf,7.93,8.98,0.5
14-15-92-00-12-91-be-c0,7.93,8.98,1.5
14-15-92-00-12-91-20-37,7.93,8.98,2.5
14-15-92-00-12-91-ce-48,0.93,9.98,0.5
14-15-92-00-12-91-b8-14,0.93,9.98,1.5
14-15-92-00-12-91-b8-a6,0.93,9.98,2.5
14-15-92-00-12-91-bd-b9,1.93,9.98,0.5
14-15-92-00-12-91-b6-75,1.93,9.98,1.5
14-15-92-00-12-91-b7-5f,1.93,9.98,2.5
14-15-92-00-12-91-af-eb,2.93,9.98,0.5
14-15-92-00-12-91-b4-2a,2.93,9.98,1.5
14-15-92-00-12-91-b6-3a,2.93,9.98,2.5
14-15-92-00-12-91-bf-23,3.93,9.98,0.5
14-15-92-00-12-91-bf-f9,3.93,9.98,1.5
14-15-92-00-12-91-c1-cd,3.93,9.98,2.5
14-15-92-00-12-91-b3-8d,4.93,9.98,0.5
14-15-92-00-12-91-ce-99,4.93,9.98,1.5
14-15-92-00-12-91-b1-69,4.93,9.98,2.5
14-15-92-00-12-91-c6-c5,5.93,9.98,0.5
14-15-92-00-12-91-b8-e7,5.93,9.98,1.5
14-15-92-00-12-91-c3-94,5.93,9.98,2.5
14-15-92-00-12-91-b1-09,6.93,9.98,0.5
14-15-92-00-12-91-bb-e0,6.93,9.98,1.5
14-15-92-00-12-91-cd-ef,6.93,9.98,2.5
14-15-92-00-12-91-cb-29,7.93,9.98,0.5
14-15-92-00-12-91-b3-8f,7.93,9.98,1.5
14-15-92-00-12-91-b8-9b,7.93,9.98,2.5
