mac,x,y,z
14-15-92-00-12-91-c6-32,-3.796,11.618,2.906
14-15-92-00-12-91-b1-a3,-3.796,12.826,2.906
14-15-92-00-12-91-1f-52,-2.972,0.14,2.912
14-15-92-00-12-91-cf-06,-2.972,0.744,2.912
14-15-92-00-12-91-b1-b6,-2.972,1.348,2.911
14-15-92-00-12-91-c7-13,-2.972,1.952,2.911
14-15-92-00-12-91-be-69,-2.972,2.556,2.911
14-15-92-00-12-91-c4-1c,-2.972,3.161,2.91
14-15-92-00-12-91-b1-ce,-2.972,3.765,2.91
14-15-92-00-12-91-bf-0e,-2.972,4.369,2.91
14-15-92-00-12-91-b7-a4,-2.972,4.973,2.91
14-15-92-00-12-91-b7-12,-2.972,5.577,2.909
14-15-92-00-12-91-cf-01,-2.972,6.181,2.909
14-15-92-00-12-91-b4-a4,-2.972,6.785,2.909
14-15-92-00-12-91-c1-18,-2.972,7.389,2.908
14-15-92-00-12-91-ca-5a,-2.972,7.994,2.908
14-15-92-00-12-91-b3-fc,-2.972,9.202,2.907
14-15-92-00-12-91-c3-bd,-2.972,9.806,2.907
14-15-92-00-12-91-c7-3e,-2.972,10.41,2.907
14-15-92-00-12-91-bc-5a,-2.972,11.014,2.907
14-15-92-00-12-91-c8-72,-2.972,11.618,2.906
14-15-92-00-12-91-be-7c,-2.972,12.222,2.906
14-15-92-00-12-91-c0-5f,-2.972,12.826,2.906
14-15-92-00-12-91-b2-34,-2.972,13.431,2.905
14-15-92-00-12-91-c3-45,-2.148,0.14,2.912
14-15-92-00-12-91-c3-3c,-2.148,0.744,2.912
14-15-92-00-12-91-1c-06,-2.148,1.348,2.911
14-15-92-00-12-91-c7-60,-2.148,2.556,2.911
14-15-92-00-12-91-b7-75,-2.148,3.161,2.91
14-15-92-00-12-91-c5-b4,-2.148,4.369,2.91
14-15-92-00-12-91-c9-ce,-2.148,4.973,2.91
14-15-92-00-12-91-b9-64,-2.148,5.577,2.909
14-15-92-00-12-91-c6-88,-2.148,6.181,2.909
14-15-92-00-12-91-b2-28,-2.148,7.389,2.908
14-15-92-00-12-91-c1-71,-2.148,7.994,2.908
14-15-92-00-12-91-b5-b2,-2.148,8.598,2.908
14-15-92-00-12-91-b9-e9,-2.148,9.202,2.907
14-15-92-00-12-91-c7-15,-2.148,9.806,2.907
14-15-92-00-12-91-c9-c5,-2.148,10.41,2.907
14-15-92-00-12-91-b6-27,-2.148,11.014,2.907
14-15-92-00-12-91-b7-8c,-2.148,11.618,2.906
14-15-92-00-12-91-af-ee,-2.148,12.222,2.906
14-15-92-00-12-91-c0-a5,-2.148,12.826,2.906
14-15-92-00-12-91-c7-51,-2.148,13.431,2.905
14-15-92-00-12-91-cb-5a,-2.148,14.035,2.905
14-15-92-00-12-91-cd-aa,-1.324,0.14,2.912
14-15-92-00-12-91-1f-54,-1.324,2.556,2.911
14-15-92-00-12-91-20-33,-1.324,3.161,2.91
14-15-92-00-12-91-bc-a8,-1.324,4.369,2.91
14-15-92-00-12-91-c6-ab,-1.324,5.577,2.909
14-15-92-00-12-91-c6-cb,-1.324,7.994,2.908
14-15-92-00-12-91-c4-e2,-1.324,8.598,2.908
14-15-92-00-12-91-b9-1d,-1.324,9.806,2.907
14-15-92-00-12-91-cc-99,-1.324,10.41,2.907
14-15-92-00-12-91-ca-e2,-1.324,11.618,2.906
14-15-92-00-12-91-bc-a5,-1.324,12.826,2.906
14-15-92-00-12-91-be-2a,-1.324,13.431,2.905
14-15-92-00-12-91-c3-da,-1.324,14.035,2.905
14-15-92-00-12-91-b2-d4,-0.5,0.14,2.912
14-15-92-00-12-91-c9-29,-0.5,0.744,2.912
14-15-92-00-12-91-c2-4a,-0.5,1.348,2.911
14-15-92-00-12-91-b2-25,-0.5,2.556,2.911
14-15-92-00-12-91-c0-b1,-0.5,3.161,2.91
14-15-92-00-12-91-b2-03,-0.5,3.765,2.91
14-15-92-00-12-91-c1-59,-0.5,4.369,2.91
14-15-92-00-12-91-b1-6d,-0.5,4.973,2.91
14-15-92-00-12-91-cb-1c,-0.5,7.389,2.908
14-15-92-00-12-91-b3-70,-0.5,7.994,2.908
14-15-92-00-12-91-b9-73,-0.5,8.598,2.908
14-15-92-00-12-91-ca-15,-0.5,9.202,2.907
14-15-92-00-12-91-b1-f9,-0.5,10.41,2.907
14-15-92-00-12-91-b8-4e,-0.5,11.014,2.907
14-15-92-00-12-91-ce-4a,-0.5,11.618,2.906
14-15-92-00-12-91-20-36,-0.5,12.222,2.906
14-15-92-00-12-91-be-91,-0.5,12.826,2.906
14-15-92-00-12-91-b8-f2,-0.5,13.431,2.905
14-15-92-00-12-91-b3-01,-0.5,14.035,2.905
14-15-92-00-12-91-ca-c1,0.66,0.51,2.66
14-15-92-00-12-91-cb-96,0.66,2.51,2.69
14-15-92-00-12-91-bd-ae,0.66,3.11,2.7
14-15-92-00-12-91-bb-1f,2.26,0.14,2.912
14-15-92-00-12-91-c9-89,2.26,0.744,2.912
14-15-92-00-12-91-b5-db,2.26,1.348,2.911
14-15-92-00-12-91-b2-37,2.26,1.952,2.911
14-15-92-00-12-91-ba-b9,2.26,2.556,2.91
14-15-92-00-12-91-b8-3d,2.26,3.161,2.91
14-15-92-00-12-91-b1-97,2.26,3.765,2.91
14-15-92-00-12-91-c0-31,2.26,4.369,2.909
14-15-92-00-12-91-b9-60,2.26,4.973,2.909
14-15-92-00-12-91-c1-56,2.26,6.181,2.908
14-15-92-00-12-91-b0-f8,2.26,7.389,2.907
14-15-92-00-12-91-cc-73,2.26,7.994,2.907
14-15-92-00-12-91-bf-21,2.26,8.598,2.906
14-15-92-00-12-91-b6-7b,2.26,9.202,2.906
14-15-92-00-12-91-1f-76,2.26,9.806,2.905
14-15-92-00-12-91-c6-e9,2.26,10.41,2.905
14-15-92-00-12-91-bc-0d,3.084,0.14,2.912
14-15-92-00-12-91-c8-d8,3.084,0.744,2.912
14-15-92-00-12-91-b4-a5,3.084,1.348,2.911
14-15-92-00-12-91-c2-ba,3.084,1.952,2.911
14-15-92-00-12-91-ce-cd,3.084,2.556,2.91
14-15-92-00-12-91-1c-a1,3.084,3.161,2.91
14-15-92-00-12-91-b0-56,3.084,3.765,2.91
14-15-92-00-12-91-bb-2b,3.084,4.369,2.909
14-15-92-00-12-91-ce-e1,3.084,4.973,2.909
14-15-92-00-12-91-b2-04,3.084,5.577,2.908
14-15-92-00-12-91-c4-ca,3.084,6.181,2.908
14-15-92-00-12-91-c6-ac,3.084,6.785,2.907
14-15-92-00-12-91-b7-fb,3.084,7.389,2.907
14-15-92-00-12-91-b5-68,3.084,7.994,2.907
14-15-92-00-12-91-cb-c6,3.084,8.598,2.906
14-15-92-00-12-91-bf-52,3.084,9.202,2.906
14-15-92-00-12-91-c0-59,3.084,9.806,2.905
14-15-92-00-12-91-b5-29,3.084,10.41,2.905
14-15-92-00-12-91-b9-1c,3.908,0.14,2.912
14-15-92-00-12-91-bb-46,3.908,0.744,2.912
14-15-92-00-12-91-b0-77,3.908,1.348,2.911
14-15-92-00-12-91-b6-c0,3.908,1.952,2.911
14-15-92-00-12-91-c2-8c,3.908,2.556,2.91
14-15-92-00-12-91-c2-5a,3.908,3.161,2.91
14-15-92-00-12-91-b9-c1,3.908,3.765,2.91
14-15-92-00-12-91-b1-28,3.908,4.369,2.909
14-15-92-00-12-91-1f-3e,3.908,4.973,2.909
14-15-92-00-12-91-c1-21,3.908,5.577,2.908
14-15-92-00-12-91-b5-5a,3.908,6.181,2.908
14-15-92-00-12-91-cd-54,3.908,6.785,2.907
14-15-92-00-12-91-b4-78,3.908,7.389,2.907
14-15-92-00-12-91-c6-68,3.908,7.994,2.907
14-15-92-00-12-91-b7-51,3.908,9.202,2.906
14-15-92-00-12-91-1f-6b,3.908,9.806,2.905
14-15-92-00-12-91-c2-68,3.908,10.41,2.905
14-15-92-00-12-91-c4-87,4.732,0.14,2.912
14-15-92-00-12-91-c4-27,4.732,0.744,2.912
14-15-92-00-12-91-c5-cf,4.732,1.348,2.911
14-15-92-00-12-91-c0-91,4.732,2.556,2.91
14-15-92-00-12-91-c9-80,4.732,3.765,2.91
14-15-92-00-12-91-b0-8e,4.732,4.369,2.909
14-15-92-00-12-91-bf-0b,4.732,4.973,2.909
14-15-92-00-12-91-cb-d4,4.732,5.577,2.908
14-15-92-00-12-91-c3-2a,4.732,6.181,2.908
14-15-92-00-12-91-ca-eb,4.732,6.785,2.907
14-15-92-00-12-91-c3-4c,4.732,7.389,2.907
14-15-92-00-12-91-cb-fd,4.732,7.994,2.907
14-15-92-00-12-91-ba-c7,4.732,8.598,2.906
14-15-92-00-12-91-be-83,4.732,9.202,2.906
14-15-92-00-12-91-bb-bf,4.732,9.806,2.905
14-15-92-00-12-91-c4-a9,4.732,10.41,2.905
14-15-92-00-12-91-b5-1f,5.556,0.14,2.912
14-15-92-00-12-91-c0-3a,5.556,0.744,2.912
14-15-92-00-12-91-c9-95,5.556,1.348,2.911
14-15-92-00-12-91-b5-0e,5.556,1.952,2.911
14-15-92-00-12-91-af-bf,5.556,2.556,2.91
14-15-92-00-12-91-b5-a6,5.556,3.161,2.91
14-15-92-00-12-91-bb-26,5.556,3.765,2.91
14-15-92-00-12-91-c9-30,5.556,4.369,2.909
14-15-92-00-12-91-b5-ea,5.556,4.973,2.909
14-15-92-00-12-91-bc-51,5.556,5.577,2.908
14-15-92-00-12-91-c7-08,5.556,6.181,2.908
14-15-92-00-12-91-bf-6f,5.556,6.785,2.907
14-15-92-00-12-91-bd-10,5.556,7.389,2.907
14-15-92-00-12-91-b1-76,5.556,7.994,2.907
14-15-92-00-12-91-b6-d3,5.556,8.598,2.906
14-15-92-00-12-91-c4-06,5.556,9.202,2.906
14-15-92-00-12-91-b7-c3,5.556,9.806,2.905
14-15-92-00-12-91-b2-fc,5.556,10.41,2.905
14-15-92-00-12-91-cd-7d,6.38,0.14,2.912
14-15-92-00-12-91-b2-99,6.38,0.744,2.912
14-15-92-00-12-91-bc-e7,6.38,1.348,2.911
14-15-92-00-12-91-cb-e0,6.38,1.952,2.911
14-15-92-00-12-91-be-33,6.38,2.556,2.91
14-15-92-00-12-91-cf-28,6.38,3.161,2.91
14-15-92-00-12-91-c8-4f,6.38,3.765,2.91
14-15-92-00-12-91-b9-5e,6.38,4.369,2.909
14-15-92-00-12-91-b8-83,6.38,4.973,2.909
14-15-92-00-12-91-b7-e9,6.38,5.577,2.908
14-15-92-00-12-91-c6-0b,6.38,6.181,2.908
14-15-92-00-12-91-c9-3b,6.38,6.785,2.907
14-15-92-00-12-91-bc-ca,6.38,7.389,2.907
14-15-92-00-12-91-c6-15,6.38,7.994,2.907
14-15-92-00-12-91-b7-d1,6.38,8.598,2.906
14-15-92-00-12-91-b4-90,6.38,9.202,2.906
14-15-92-00-12-91-c4-79,6.38,9.806,2.905
14-15-92-00-12-91-bc-67,6.38,10.41,2.905
